2025-01-15 16:21:11 | INFO | __main__ | Fetching historical prices for JSWSTEEL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:11 | INFO | __main__ | Fetching prices for JSWSTEEL from 15-01-2025 to 15-01-2025
2025-01-15 16:21:12 | INFO | __main__ | Updated stock prices saved to data/stock_prices/jswsteel_historical_prices.json
2025-01-15 16:21:12 | INFO | __main__ | Fetching historical prices for ITC from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:12 | INFO | __main__ | Fetching prices for ITC from 15-01-2025 to 15-01-2025
2025-01-15 16:21:14 | INFO | __main__ | Updated stock prices saved to data/stock_prices/itc_historical_prices.json
2025-01-15 16:21:14 | INFO | __main__ | Fetching historical prices for HAL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:14 | INFO | __main__ | Fetching prices for HAL from 15-01-2025 to 15-01-2025
2025-01-15 16:21:16 | INFO | __main__ | Updated stock prices saved to data/stock_prices/hal_historical_prices.json
2025-01-15 16:21:16 | INFO | __main__ | Fetching historical prices for HINDALCO from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:16 | INFO | __main__ | Fetching prices for HINDALCO from 15-01-2025 to 15-01-2025
2025-01-15 16:21:17 | INFO | __main__ | Updated stock prices saved to data/stock_prices/hindalco_historical_prices.json
2025-01-15 16:21:17 | INFO | __main__ | Fetching historical prices for INDUSINDBK from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:17 | INFO | __main__ | Fetching prices for INDUSINDBK from 15-01-2025 to 15-01-2025
2025-01-15 16:21:19 | INFO | __main__ | Updated stock prices saved to data/stock_prices/indusindbk_historical_prices.json
2025-01-15 16:21:19 | INFO | __main__ | Fetching historical prices for CIPLA from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:19 | INFO | __main__ | Fetching prices for CIPLA from 15-01-2025 to 15-01-2025
2025-01-15 16:21:21 | INFO | __main__ | Updated stock prices saved to data/stock_prices/cipla_historical_prices.json
2025-01-15 16:21:21 | INFO | __main__ | Fetching historical prices for TITAN from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:21 | INFO | __main__ | Fetching prices for TITAN from 15-01-2025 to 15-01-2025
2025-01-15 16:21:23 | INFO | __main__ | Updated stock prices saved to data/stock_prices/titan_historical_prices.json
2025-01-15 16:21:23 | INFO | __main__ | Fetching historical prices for HDFCBANK from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:23 | INFO | __main__ | Fetching prices for HDFCBANK from 15-01-2025 to 15-01-2025
